hour_bucket,predicted_hourly_m3,lower,upper
2026-04-26 16:00:00,0.0,0.0,3.0505400016889537
2026-04-26 17:00:00,0.0,0.0,3.0505400016889537
2026-04-26 18:00:00,0.0,0.0,3.0505400016889537
2026-04-26 19:00:00,0.0,0.0,3.0505400016889537
2026-04-26 20:00:00,0.0,0.0,3.0505400016889537
2026-04-26 21:00:00,0.0,0.0,3.0505400016889537
2026-04-26 22:00:00,0.0,0.0,3.0505400016889537
2026-04-26 23:00:00,0.0,0.0,3.0505400016889537
2026-04-27 00:00:00,0.0,0.0,3.0505400016889537
2026-04-27 01:00:00,0.0,0.0,3.0505400016889537
2026-04-27 02:00:00,0.0,0.0,3.0505400016889537
2026-04-27 03:00:00,0.0,0.0,3.0505400016889537
2026-04-27 04:00:00,0.0,0.0,3.0505400016889537
2026-04-27 05:00:00,0.0,0.0,3.0505400016889537
2026-04-27 06:00:00,9.304365412290894,5.665627918801778,12.354905413979846
2026-04-27 07:00:00,10.188096801579443,6.549359308090327,13.238636803268395
2026-04-27 08:00:00,13.843175524327094,10.204438030837979,16.89371552601605
2026-04-27 09:00:00,13.667290009656673,10.028552516167558,16.717830011345626
2026-04-27 10:00:00,14.00979393842651,10.371056444937395,17.060333940115463
2026-04-27 11:00:00,14.019941229450378,10.381203735961263,17.070481231139333
2026-04-27 12:00:00,12.84455976576229,9.205822272273174,15.895099767451242
2026-04-27 13:00:00,11.993038558608824,8.354301065119708,15.043578560297778
2026-04-27 14:00:00,11.408266353113676,7.769528859624561,14.458806354802629
2026-04-27 15:00:00,9.30789762754144,5.6691601340523246,12.358437629230394
2026-04-27 16:00:00,8.240977027845895,4.60223953435678,11.291517029534848
2026-04-27 17:00:00,0.0,0.0,3.0505400016889537
2026-04-27 18:00:00,0.0,0.0,3.0505400016889537
2026-04-27 19:00:00,0.0,0.0,3.0505400016889537
2026-04-27 20:00:00,0.0,0.0,3.0505400016889537
2026-04-27 21:00:00,0.0,0.0,3.0505400016889537
2026-04-27 22:00:00,0.0,0.0,3.0505400016889537
2026-04-27 23:00:00,0.0,0.0,3.0505400016889537
2026-04-28 00:00:00,0.0,0.0,3.0505400016889537
2026-04-28 01:00:00,0.0,0.0,3.0505400016889537
2026-04-28 02:00:00,0.0,0.0,3.0505400016889537
2026-04-28 03:00:00,0.0,0.0,3.0505400016889537
2026-04-28 04:00:00,0.0,0.0,3.0505400016889537
2026-04-28 05:00:00,0.0,0.0,3.0505400016889537
2026-04-28 06:00:00,9.619536344600327,5.980798851111212,12.670076346289282
2026-04-28 07:00:00,11.420604933598689,7.781867440109574,14.471144935287644
2026-04-28 08:00:00,14.785373040425874,11.146635546936759,17.83591304211483
2026-04-28 09:00:00,15.860190519806293,12.221453026317178,18.910730521495246
2026-04-28 10:00:00,15.763866462566819,12.125128969077704,18.81440646425577
2026-04-28 11:00:00,16.045028460651707,12.406290967162592,19.095568462340662
2026-04-28 12:00:00,15.618218104219325,11.97948061073021,18.668758105908278
2026-04-28 13:00:00,14.544087086093468,10.905349592604352,17.59462708778242
2026-04-28 14:00:00,14.066919799070101,10.428182305580986,17.117459800759054
2026-04-28 15:00:00,10.749837940486312,7.111100446997197,13.800377942175267
2026-04-28 16:00:00,8.198798451629903,4.560060958140788,11.249338453318856
2026-04-28 17:00:00,0.0,0.0,3.0505400016889537
2026-04-28 18:00:00,0.0,0.0,3.0505400016889537
2026-04-28 19:00:00,0.0,0.0,3.0505400016889537
2026-04-28 20:00:00,0.0,0.0,3.0505400016889537
2026-04-28 21:00:00,0.0,0.0,3.0505400016889537
2026-04-28 22:00:00,0.0,0.0,3.0505400016889537
2026-04-28 23:00:00,0.0,0.0,3.0505400016889537
2026-04-29 00:00:00,0.0,0.0,3.0505400016889537
2026-04-29 01:00:00,0.0,0.0,3.0505400016889537
2026-04-29 02:00:00,0.0,0.0,3.0505400016889537
2026-04-29 03:00:00,0.0,0.0,3.0505400016889537
2026-04-29 04:00:00,0.0,0.0,3.0505400016889537
2026-04-29 05:00:00,0.0,0.0,3.0505400016889537
2026-04-29 06:00:00,11.376822959674998,7.738085466185883,14.42736296136395
2026-04-29 07:00:00,12.70126642481696,9.062528931327845,15.751806426505915
2026-04-29 08:00:00,15.395144248176605,11.75640675468749,18.445684249865558
2026-04-29 09:00:00,16.728379619212152,13.089642125723037,19.778919620901107
2026-04-29 10:00:00,17.119505235944818,13.480767742455702,20.170045237633772
2026-04-29 11:00:00,16.882560971577334,13.243823478088219,19.93310097326629
2026-04-29 12:00:00,16.183059523196732,12.544322029707617,19.233599524885687
2026-04-29 13:00:00,15.319813480669842,11.681075987180726,18.370353482358794
2026-04-29 14:00:00,14.479814091020195,10.84107659753108,17.53035409270915
2026-04-29 15:00:00,13.88651524913596,10.247777755646844,16.937055250824912
2026-04-29 16:00:00,12.112932986863852,8.474195493374737,15.163472988552805
2026-04-29 17:00:00,0.0,0.0,3.0505400016889537
2026-04-29 18:00:00,0.0,0.0,3.0505400016889537
2026-04-29 19:00:00,0.0,0.0,3.0505400016889537
2026-04-29 20:00:00,0.0,0.0,3.0505400016889537
2026-04-29 21:00:00,0.0,0.0,3.0505400016889537
2026-04-29 22:00:00,0.0,0.0,3.0505400016889537
2026-04-29 23:00:00,0.0,0.0,3.0505400016889537
2026-04-30 00:00:00,0.0,0.0,3.0505400016889537
2026-04-30 01:00:00,0.0,0.0,3.0505400016889537
2026-04-30 02:00:00,0.0,0.0,3.0505400016889537
2026-04-30 03:00:00,0.0,0.0,3.0505400016889537
2026-04-30 04:00:00,0.0,0.0,3.0505400016889537
2026-04-30 05:00:00,0.0,0.0,3.0505400016889537
2026-04-30 06:00:00,10.495082599619154,6.856345106130039,13.545622601308107
